process,temp,supply,control,corner name,bgr_tran_02_sat_check,bgr_tran_13_sat_check,bgr_tran_14_sat_check,bgr_tran_15_sat_check,bgr_tran_16_sat_check,bgr_tran_17_sat_check,bgr_tran_18_sat_check,bgr_tran_19_sat_check,bgr_tran_20_sat_check,bgr_tran_21_sat_check,bgr_tran_22_sat_check,bgr_tran_23_sat_check,bgr_tran_24_sat_check,gmn (mS),gmp (mS),I_left (mA),I_right (mA),I_tail (mA),nmos_sat_check,pmos_sat_check,tail_sat_check,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,-40,1.1,1.6,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.733528,True,2.594043,
ff,-40,1.1,1.7,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.735152,True,2.594705,
ff,-40,1.1,1.8,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.73557,True,2.593767,
ff,125,0.9,0.0,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,2.695212,True,2.207919,
ff,125,0.9,0.1,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,2.675378,True,2.235897,
ff,125,0.9,0.2,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,2.658694,True,2.269455,
ff,125,0.9,0.3,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,2.65459,True,2.307008,
ff,125,0.9,0.4,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,2.66256,True,2.345337,
ff,125,0.9,0.5,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,2.692646,True,2.38172,
ff,125,0.9,0.6,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,2.740786,True,2.415369,
