 time       v(up)      v(dn)      v(FB)      v(REF)    
 1.473e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.483e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.493e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.503e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.513e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.523e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.533e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.543e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.553e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.563e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.573e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.583e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.593e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.603e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.613e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.623e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.633e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.643e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.653e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.663e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.673e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.683e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.693e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.703e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.713e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.723e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.733e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.743e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.753e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.763e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.773e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.783e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.793e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.803e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.813e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.823e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.833e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.843e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.853e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.863e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.873e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.883e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.893e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.903e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.913e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.923e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.933e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.943e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.953e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.963e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.973e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.983e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.993e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.003e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.013e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.023e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.033e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.043e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.053e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.063e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.073e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.083e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.093e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.103e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.113e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.123e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.133e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.143e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.153e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.163e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.173e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.183e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.193e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.203e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.213e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.223e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.233e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.243e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.253e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.263e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.273e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.283e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.293e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.303e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.313e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.323e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.333e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.343e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.353e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.363e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.373e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.383e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.393e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.403e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.413e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.423e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.433e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.443e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.453e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.463e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.473e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.483e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.493e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.503e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.513e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.523e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.533e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.543e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.553e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.563e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.573e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.583e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.593e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.603e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.613e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.623e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.633e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.643e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.653e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.663e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.673e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.683e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.693e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.703e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.713e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.723e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.733e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.743e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.753e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
