process,temp,supply,control,corner name,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,125,1.1,1.3,"ff,125,1.1",117.4968,9.014032e-02,1.223243e+00,2.935888,True,2.596378,
ff,125,1.1,1.4,"ff,125,1.1",432.9234,1.332165e+00,-4.71163e-02,2.943168,True,2.600118,
ff,125,1.1,1.5,"ff,125,1.1",-246.38400000000001,9.263560e-01,2.993484e-01,2.946888,True,2.601497,
ff,125,1.1,1.6,"ff,125,1.1",-247.6674,3.137782e-01,9.252890e-01,2.94869,True,2.602885,
ff,125,1.1,1.7,"ff,125,1.1",148.8906,1.380645e+00,1.496080e-02,2.949556,True,2.603317,
ff,125,1.1,1.8,"ff,125,1.1",27.892799999999998,5.079809e-02,1.331267e+00,2.949974,True,2.603481,
ff,27,0.9,0.0,"ff,27,0.9",438.21720000000005,1.244845e+00,6.958454e-02,2.679816,True,2.265093,
ff,27,0.9,0.1,"ff,27,0.9",-66.3732,8.002029e-01,5.043907e-01,2.6689,True,2.301578,
ff,27,0.9,0.2,"ff,27,0.9",77.409,1.169470e+00,-4.61635e-02,2.661266,True,2.342795,
ff,27,0.9,0.3,"ff,27,0.9",208.34279999999998,3.948168e-01,9.280969e-01,2.66043,True,2.386207,
ff,27,0.9,0.4,"ff,27,0.9",1907.73,7.630290e-01,6.101343e-01,2.673932,True,2.42847,
ff,27,0.9,0.5,"ff,27,0.9",-161.84340000000003,7.889581e-02,1.018228e+00,2.707014,True,2.466299,
ff,27,0.9,0.6,"ff,27,0.9",4.1598,7.508703e-01,7.508649e-01,2.754204,True,2.500639,
ff,27,0.9,0.7,"ff,27,0.9",4.1652,7.508333e-01,7.508343e-01,2.80701,True,2.533301,
ff,27,0.9,0.8,"ff,27,0.9",4.188600000000001,7.508512e-01,7.508689e-01,2.85808,True,2.565301,
ff,27,0.9,0.9,"ff,27,0.9",4.1778,7.508474e-01,7.508569e-01,2.902452,True,2.595532,
ff,27,0.9,1.0,"ff,27,0.9",493.83,1.257300e+00,8.512920e-02,2.937148,True,2.619391,
ff,27,0.9,1.1,"ff,27,0.9",4.185,7.509212e-01,7.508359e-01,2.960352,True,2.635324,
ff,27,0.9,1.2,"ff,27,0.9",-109.78739999999999,-3.65075e-02,1.366189e+00,2.974228,True,2.643824,
ff,27,0.9,1.3,"ff,27,0.9",-60.1704,1.294755e+00,6.893456e-02,2.98072,True,2.647643,
ff,27,0.9,1.4,"ff,27,0.9",49.9932,1.285689e+00,-1.01148e-02,2.983348,True,2.649455,
ff,27,0.9,1.5,"ff,27,0.9",4.1724000000000006,7.508554e-01,7.508786e-01,2.984364,True,2.650228,
ff,27,0.9,1.6,"ff,27,0.9",107.0496,9.134593e-02,1.216968e+00,2.984764,True,2.649647,
ff,27,0.9,1.7,"ff,27,0.9",-224.31779999999998,9.673563e-01,2.327591e-01,2.98492,True,2.649907,
ff,27,0.9,1.8,"ff,27,0.9",-63.8982,3.822556e-02,1.379187e+00,2.985004,True,2.6504,
ff,27,1.0,0.0,"ff,27,1.0",20.1474,1.265929e+00,7.275678e-02,2.724538,True,2.254272,
ff,27,1.0,0.1,"ff,27,1.0",-329.97420000000005,6.394392e-01,6.914750e-01,2.712792,True,2.289789,
ff,27,1.0,0.2,"ff,27,1.0",4.6566,7.582484e-01,7.582579e-01,2.70457,True,2.329054,
ff,27,1.0,0.3,"ff,27,1.0",372.4902000000001,1.013285e+00,2.714897e-01,2.70269,True,2.372121,
ff,27,1.0,0.4,"ff,27,1.0",605.547,9.008598e-01,3.566284e-01,2.718152,True,2.411546,
ff,27,1.0,0.5,"ff,27,1.0",4.654800000000001,7.583360e-01,7.583453e-01,2.7501,True,2.448621,
ff,27,1.0,0.6,"ff,27,1.0",4.660200000000001,7.584373e-01,7.584693e-01,2.799392,True,2.481229,
ff,27,1.0,0.7,"ff,27,1.0",4.6476,7.584559e-01,7.584636e-01,2.855866,True,2.511875,
ff,27,1.0,0.8,"ff,27,1.0",4.617000000000001,7.577927e-01,7.577971e-01,2.912038,True,2.542191,
ff,27,1.0,0.9,"ff,27,1.0",4.6512,7.586960e-01,7.586810e-01,2.963018,True,2.570359,
ff,27,1.0,1.0,"ff,27,1.0",4.671,7.585295e-01,7.585071e-01,3.005374,True,2.595041,
ff,27,1.0,1.1,"ff,27,1.0",4.6584,7.584495e-01,7.584326e-01,3.03676,True,2.612059,
ff,27,1.0,1.2,"ff,27,1.0",4.6458,7.584147e-01,7.584367e-01,3.056528,True,2.622813,
ff,27,1.0,1.3,"ff,27,1.0",-156.9366,1.322125e-02,1.488297e+00,3.066758,True,2.627698,
ff,27,1.0,1.4,"ff,27,1.0",-16.6572,1.507781e+00,4.685911e-03,3.071184,True,2.62977,
ff,27,1.0,1.5,"ff,27,1.0",-24.2604,3.098225e-01,8.977314e-01,3.072834,True,2.630669,
ff,27,1.0,1.6,"ff,27,1.0",4.6494,7.583633e-01,7.583722e-01,3.073468,True,2.630723,
ff,27,1.0,1.7,"ff,27,1.0",-34.5168,1.451741e+00,3.139569e-02,3.073716,True,2.630727,
ff,27,1.0,1.8,"ff,27,1.0",4.6512,7.584548e-01,7.584430e-01,3.073786,True,2.630905,
ff,27,1.1,0.0,"ff,27,1.1",-47.565000000000005,1.779385e-01,1.100126e+00,2.76255,True,2.245072,
ff,27,1.1,0.1,"ff,27,1.1",232.45200000000003,2.582856e-01,1.031204e+00,2.749958,True,2.279391,
ff,27,1.1,0.2,"ff,27,1.1",4.836600000000001,7.609989e-01,7.609769e-01,2.73938,True,2.318055,
ff,27,1.1,0.3,"ff,27,1.1",4.832999999999999,7.610259e-01,7.610002e-01,2.738362,True,2.359625,
ff,27,1.1,0.4,"ff,27,1.1",-126.76680000000002,1.995760e-03,1.335387e+00,2.752412,True,2.399227,
